net,length_um
mc[31],5.97µm
mp[2],5.97µm
_0131_,5.91µm
Y\[31\],5.9µm
_0274_,5.86µm
spm32.genblk1\[18\].csa.hsum2,5.86µm
spm32.genblk1\[26\].csa.hsum2,5.86µm
net112,5.86µm
net241,5.86µm
_0309_,5.84µm
_0440_,5.84µm
spm32.genblk1\[7\].csa.hsum2,5.84µm
_0272_,5.8µm
_0319_,5.72µm
net267,5.72µm
_0156_,5.68µm
net327,5.68µm
_0033_,5.67µm
mc[23],5.63µm
mc[24],5.63µm
mc[29],5.63µm
mp[1],5.63µm
mp[9],5.63µm
spm32.genblk1\[28\].csa.sc,5.6µm
net265,5.6µm
_0069_,5.56µm
_0106_,5.56µm
_0141_,5.56µm
_0152_,5.56µm
_0170_,5.56µm
spm32.genblk1\[1\].csa.hsum2,5.525µm
spm32.genblk1\[17\].csa.hsum2,5.52µm
_0136_,5.49µm
_0378_,5.48µm
spm32.genblk1\[1\].csa.sc,5.48µm
spm32.genblk1\[3\].csa.y,5.48µm
_0143_,5.46µm
spm32.genblk1\[20\].csa.hsum2,5.46µm
_0034_,5.45µm
p[46],5.41µm
net208,5.4µm
net247,5.4µm
_0076_,5.39µm
spm32.genblk1\[24\].csa.sc,5.38µm
net43,5.38µm
net250,5.38µm
_0393_,5.36µm
spm32.genblk1\[2\].csa.sc,5.36µm
_0463_,5.34µm
net29,5.34µm
net190,5.34µm
net368,5.34µm
_0416_,5.33µm
mc[25],5.29µm
mp[15],5.29µm
net235,5.28µm
_0008_,5.26µm
_0316_,5.26µm
net32,5.26µm
net192,5.26µm
net209,5.26µm
_0326_,5.22µm
_0329_,5.22µm
_0388_,5.22µm
net21,5.22µm
net216,5.22µm
net331,5.22µm
net227,5.16µm
_0470_,5.14µm
_0198_,5.095µm
_0083_,5.07µm
p[45],5.07µm
net239,5.06µm
_0263_,5.04µm
_0269_,5.04µm
net215,5.03µm
_0006_,5.02µm
_0018_,5.02µm
_0438_,5.02µm
spm32.genblk1\[13\].csa.sc,5.02µm
_0277_,5µm
_0133_,4.99µm
_0081_,4.97µm
_0114_,4.97µm
mc[22],4.95µm
mc[26],4.95µm
mp[14],4.95µm
rst,4.95µm
_0330_,4.94µm
_0184_,4.93µm
_0278_,4.92µm
_0279_,4.92µm
_0333_,4.92µm
_0450_,4.92µm
net37,4.92µm
net61,4.92µm
_0325_,4.88µm
net28,4.88µm
net374,4.88µm
_0163_,4.87µm
_0306_,4.82µm
_0409_,4.82µm
net14,4.82µm
_0161_,4.78µm
_0258_,4.78µm
_0211_,4.68µm
_0214_,4.68µm
mc[18],4.61µm
mc[27],4.61µm
mp[13],4.61µm
_0354_,4.6µm
_0370_,4.6µm
net259,4.6µm
_0002_,4.58µm
_0092_,4.58µm
_0221_,4.58µm
_0280_,4.58µm
spm32.genblk1\[23\].csa.sc,4.56µm
_0117_,4.54µm
_0190_,4.54µm
_0249_,4.54µm
nstate\[0\],4.54µm
spm32.genblk1\[11\].csa.hsum2,4.54µm
_0191_,4.53µm
_0154_,4.51µm
net70,4.48µm
net217,4.48µm
_0271_,4.46µm
spm32.genblk1\[10\].csa.hsum2,4.46µm
net290,4.46µm
net362,4.46µm
net371,4.46µm
_0029_,4.42µm
_0220_,4.42µm
_0226_,4.42µm
_0233_,4.42µm
_0324_,4.42µm
_0417_,4.36µm
net219,4.34µm
net226,4.34µm
net243,4.34µm
net274,4.34µm
_0195_,4.295µm
_0201_,4.24µm
net261,4.24µm
_0237_,4.22µm
spm32.genblk1\[21\].csa.sc,4.22µm
spm32.genblk1\[22\].csa.sc,4.22µm
net263,4.22µm
_0160_,4.15µm
net189,4.14µm
net268,4.14µm
net285,4.14µm
_0003_,4.12µm
_0020_,4.12µm
_0021_,4.12µm
net304,4.12µm
_0066_,4.08µm
_0168_,4.08µm
_0175_,4.08µm
_0236_,4.08µm
_0102_,4.05µm
_0031_,4µm
_0312_,4µm
net193,4µm
net204,4µm
net210,4µm
net313,4µm
net328,4µm
_0294_,3.88µm
_0320_,3.88µm
_0323_,3.88µm
net212,3.88µm
net298,3.88µm
_0140_,3.79µm
_0022_,3.76µm
spm32.genblk1\[25\].csa.hsum2,3.76µm
spm32.genblk1\[27\].csa.sc,3.76µm
spm32.genblk1\[15\].csa.hsum2,3.68µm
net321,3.68µm
_0290_,3.66µm
net184,3.66µm
net336,3.66µm
net200,3.64µm
_0189_,3.59µm
_0252_,3.56µm
net360,3.56µm
_0216_,3.54µm
_0276_,3.54µm
_0383_,3.54µm
net186,3.54µm
_0146_,3.52µm
_0172_,3.52µm
_0183_,3.47µm
_0473_,3.44µm
net272,3.44µm
_0418_,3.42µm
nstate\[1\],3.42µm
net195,3.42µm
net236,3.42µm
_0074_,3.4µm
_0181_,3.35µm
_0139_,3.3µm
spm32.genblk1\[23\].csa.hsum2,3.3µm
spm32.genblk1\[5\].csa.hsum2,3.3µm
net278,3.3µm
_0064_,3.23µm
_0123_,3.23µm
_0171_,3.23µm
spm32.genblk1\[12\].csa.hsum2,3.22µm
net240,3.22µm
net288,3.22µm
_0012_,3.2µm
_0246_,3.2µm
_0289_,3.2µm
net332,3.2µm
_0110_,3.13µm
_0159_,3.13µm
_0167_,3.13µm
_0348_,3.1µm
spm32.genblk1\[7\].csa.y,3.1µm
net64,3.1µm
net224,3.1µm
net279,3.1µm
net294,3.1µm
_0004_,3.08µm
_0248_,3.08µm
_0293_,3.08µm
_0380_,3.08µm
spm32.genblk1\[3\].csa.hsum2,3.08µm
net18,3.08µm
net238,3.08µm
net373,3.08µm
_0119_,3.03µm
_0337_,2.98µm
spm32.genblk1\[21\].csa.hsum2,2.98µm
spm32.genblk1\[22\].csa.hsum2,2.98µm
net15,2.98µm
net19,2.98µm
_0026_,2.96µm
_0295_,2.96µm
_0331_,2.96µm
_0436_,2.96µm
net17,2.96µm
net183,2.96µm
net245,2.96µm
_0111_,2.84µm
_0138_,2.84µm
_0155_,2.84µm
_0215_,2.84µm
_0134_,2.77µm
net211,2.76µm
net229,2.76µm
net297,2.76µm
_0073_,2.74µm
_0151_,2.74µm
_0227_,2.74µm
_0228_,2.74µm
_0281_,2.74µm
_0284_,2.74µm
net302,2.74µm
net318,2.74µm
_0068_,2.69µm
_0145_,2.69µm
_0158_,2.69µm
_0217_,2.64µm
_0315_,2.64µm
_0392_,2.64µm
net232,2.64µm
_0001_,2.62µm
_0010_,2.62µm
_0243_,2.62µm
_0297_,2.62µm
_0460_,2.62µm
spm32.genblk1\[14\].csa.hsum2,2.62µm
spm32.genblk1\[27\].csa.hsum2,2.62µm
spm32.genblk1\[9\].csa.hsum2,2.62µm
net311,2.62µm
net213,2.52µm
_0060_,2.5µm
_0135_,2.5µm
_0176_,2.5µm
_0192_,2.5µm
_0253_,2.5µm
_0318_,2.5µm
net234,2.5µm
_0075_,2.38µm
_0098_,2.38µm
_0109_,2.38µm
_0166_,2.38µm
spm32.genblk1\[6\].csa.hsum2,2.38µm
_0283_,2.3µm
_0292_,2.3µm
net199,2.3µm
net201,2.3µm
net248,2.3µm
net276,2.3µm
net289,2.3µm
net293,2.3µm
net341,2.3µm
_0005_,2.28µm
_0013_,2.28µm
_0287_,2.28µm
_0288_,2.28µm
net223,2.28µm
net330,2.28µm
net338,2.28µm
_0104_,2.23µm
_0118_,2.23µm
_0129_,2.23µm
_0137_,2.23µm
_0187_,2.23µm
_0036_,2.21µm
_0360_,2.18µm
_0015_,2.16µm
_0148_,2.16µm
_0153_,2.16µm
_0197_,2.16µm
_0219_,2.16µm
_0255_,2.16µm
_0264_,2.16µm
_0273_,2.16µm
_0301_,2.16µm
_0327_,2.16µm
_0334_,2.16µm
_0338_,2.16µm
spm32.genblk1\[24\].csa.hsum2,2.16µm
net218,2.16µm
net284,2.16µm
net309,2.16µm
_0067_,2.04µm
_0162_,2.04µm
_0186_,2.04µm
_0194_,2.04µm
_0332_,2.04µm
net13,2.04µm
_0017_,1.84µm
_0019_,1.84µm
_0282_,1.84µm
net196,1.84µm
net202,1.84µm
net246,1.84µm
net320,1.84µm
net333,1.84µm
_0023_,1.82µm
_0025_,1.82µm
_0030_,1.82µm
_0097_,1.82µm
_0144_,1.82µm
_0188_,1.82µm
_0193_,1.82µm
_0244_,1.82µm
_0268_,1.82µm
net270,1.82µm
net287,1.82µm
net349,1.82µm
_0124_,1.75µm
_0147_,1.75µm
_0245_,1.72µm
_0120_,1.7µm
_0164_,1.7µm
_0206_,1.7µm
_0209_,1.7µm
_0229_,1.7µm
_0247_,1.7µm
_0266_,1.7µm
_0310_,1.7µm
_0311_,1.7µm
_0448_,1.7µm
spm32.genblk1\[28\].csa.hsum2,1.7µm
net249,1.7µm
net266,1.7µm
net342,1.7µm
net357,1.38µm
_0016_,1.36µm
_0038_,1.36µm
_0061_,1.36µm
_0077_,1.36µm
_0078_,1.36µm
_0087_,1.36µm
_0115_,1.36µm
_0142_,1.36µm
_0157_,1.36µm
_0165_,1.36µm
_0173_,1.36µm
_0179_,1.36µm
_0182_,1.36µm
_0207_,1.36µm
_0208_,1.36µm
_0296_,1.36µm
_0210_,1.14µm
_0254_,1.14µm
net16,1.14µm
net225,0.92µm
_0213_,0.8µm
_0239_,0.8µm
_0314_,0.46µm
_0321_,0.46µm
_0343_,0.46µm
_0376_,0.46µm
net187,0.46µm
net242,0.46µm
net258,0.46µm
net358,0.46µm
